SL.,Station,Year,Month,Date,Temperature (maximum),Temperature(minimum),Temperature(Average),Rainfall(mm),Humidity(percentage)
119,Sylhet (10705),1979,11,1/11/1979,29.59,19.52,24.555,6,78.3
120,Sylhet (10705),1979,12,1/12/1979,25.77,14.69,20.23,33,76.71
121,Sylhet (10705),1980,1,1/1/1980,24.55,12.14,18.345,0,71.03
122,Sylhet (10705),1980,2,1/2/1980,26.62,14.1,20.36,33,65.1
123,Sylhet (10705),1980,3,1/3/1980,29.73,18.69,24.21,114,68.58
124,Sylhet (10705),1980,4,1/4/1980,32.04,21.42,26.73,519,74.03
125,Sylhet (10705),1980,5,1/5/1980,28.93,21.51,25.22,758,82.9
126,Sylhet (10705),1980,6,1/6/1980,31.16,25.16,28.16,457,85.13
127,Sylhet (10705),1980,7,1/7/1980,31.44,25.35,28.395,449,85.87
128,Sylhet (10705),1980,8,1/8/1980,31.29,25.35,28.32,307,86.19
129,Sylhet (10705),1980,9,1/9/1980,31.05,24.94,27.995,154,87.87
130,Sylhet (10705),1980,10,1/10/1980,29.56,21.86,25.71,489,83.23
131,Sylhet (10705),1980,11,1/11/1980,29.6,17.75,23.675,0,71.7
132,Sylhet (10705),1980,12,1/12/1980,27.18,14.36,20.77,0,72.68
133,Sylhet (10705),1981,1,1/1/1981,25.04,13.41,19.225,21,70.94
134,Sylhet (10705),1981,2,1/2/1981,26.68,14.83,20.755,39,69.07
135,Sylhet (10705),1981,3,1/3/1981,29.63,17.92,23.775,109,66.9
136,Sylhet (10705),1981,4,1/4/1981,29.25,20.16,24.705,420,76.33
137,Sylhet (10705),1981,5,1/5/1981,30.05,22.35,26.2,1000,82.1
138,Sylhet (10705),1981,6,1/6/1981,32.05,24.97,28.51,351,83.87
139,Sylhet (10705),1981,7,1/7/1981,29.78,24.82,27.3,1113,89.13
140,Sylhet (10705),1981,8,1/8/1981,31.33,25.25,28.29,747,86.55
141,Sylhet (10705),1981,9,1/9/1981,31.18,24.72,27.95,464,85.27
142,Sylhet (10705),1981,10,1/10/1981,31.66,22.61,27.135,43,78.9
143,Sylhet (10705),1981,11,1/11/1981,30.39,18.15,24.27,0,70.3
144,Sylhet (10705),1981,12,1/12/1981,26.14,14.39,20.265,26,72.42
145,Sylhet (10705),1982,1,1/1/1982,26.62,13.18,19.9,0,70.48
146,Sylhet (10705),1982,2,1/2/1982,26.73,14.26,20.495,27,63.29
147,Sylhet (10705),1982,3,1/3/1982,30.03,17.14,23.585,80,62.71
148,Sylhet (10705),1982,4,1/4/1982,29.07,20.48,24.775,732,80.17
149,Sylhet (10705),1982,5,1/5/1982,31.98,23.13,27.555,509,78.65
150,Sylhet (10705),1982,6,1/6/1982,30.02,24.81,27.415,870,87.87
151,Sylhet (10705),1982,7,1/7/1982,30.16,24.93,27.545,807,88.42
152,Sylhet (10705),1982,8,1/8/1982,31.87,25.35,28.61,661,84.74
153,Sylhet (10705),1982,9,1/9/1982,30.76,24.51,27.635,513,87.5
154,Sylhet (10705),1982,10,1/10/1982,31.31,22.37,26.84,29,80.29
155,Sylhet (10705),1982,11,1/11/1982,28.42,17.03,22.725,5,75.7
156,Sylhet (10705),1982,12,1/12/1982,25.71,13.14,19.425,0,74.16
157,Sylhet (10705),1983,1,1/1/1983,24.8,11.27,18.035,1,69.32
158,Sylhet (10705),1983,2,1/2/1983,26.62,12.78,19.7,43,63.07
159,Sylhet (10705),1983,3,1/3/1983,28.3,18.81,23.555,387,72.06
160,Sylhet (10705),1983,4,1/4/1983,29.83,20.75,25.29,500,75.6
161,Sylhet (10705),1983,5,1/5/1983,29.8,22.57,26.185,580,82.35
162,Sylhet (10705),1983,6,1/6/1983,30.77,24.46,27.615,667,86.3
163,Sylhet (10705),1983,7,1/7/1983,30.89,25.6,28.245,952,87.77
164,Sylhet (10705),1983,8,1/8/1983,31.4,25.09,28.245,858,87.19
165,Sylhet (10705),1983,9,1/9/1983,31.79,24.85,28.32,536,87.13
166,Sylhet (10705),1983,10,1/10/1983,32.02,23.31,27.665,278,83.1
167,Sylhet (10705),1983,11,1/11/1983,30.2,18.45,24.325,0,71.83
168,Sylhet (10705),1983,12,1/12/1983,25.42,13.19,19.305,20,73.87
169,Sylhet (10705),1984,1,1/1/1984,24.4,11.8,18.1,8,72.48
170,Sylhet (10705),1984,2,1/2/1984,27.82,13.28,20.55,4,66.14
171,Sylhet (10705),1984,3,1/3/1984,33.21,18.11,25.66,54,57
172,Sylhet (10705),1984,4,1/4/1984,32.61,21.2,26.905,296,72.63
